fsa,letter,numbers,lane,control,project,extra,sample.identifier,single.dilution,DNA.condition,identifiers.str,ratios.str,mix.dilution,template.nanograms,kit,Q,capillary,injection.seconds
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B01_RD14-0003-23d2a-0.5IP-Q1.0_002.10sec.fsa,B,01,RD14-0003-23d2a,"",RD14-0003,23d2a,23,2a,"","","","",0.5,IP,1.0,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B02_RD14-0003-23d1c-0.5IP-Q1.7_002.10sec.fsa,B,02,RD14-0003-23d1c,"",RD14-0003,23d1c,23,1c,"","","","",0.5,IP,1.7,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B03_Ladder-IP_002.10sec.fsa,B,03,Ladder,Ladder,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B04_RD14-0003-23d3d-0.05IP-Q2.5_002.10sec.fsa,B,04,RD14-0003-23d3d,"",RD14-0003,23d3d,23,3d,"","","","",0.05,IP,2.5,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B05_RD14-0003-23d3e-0.04IP-Q4.1_002.10sec.fsa,B,05,RD14-0003-23d3e,"",RD14-0003,23d3e,23,3e,"","","","",0.04,IP,4.1,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B06_RD14-0003-24d3a-0.03125IP-Q0.8_002.10sec.fsa,B,06,RD14-0003-24d3a,"",RD14-0003,24d3a,24,3a,"","","","",0.03125,IP,0.8,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B07_RD14-0003-24d3c-0.03125IP-Q1.1_002.10sec.fsa,B,07,RD14-0003-24d3c,"",RD14-0003,24d3c,24,3c,"","","","",0.03125,IP,1.1,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B08_RD14-0003-24d2d-0.0625IP-Q2.8_002.10sec.fsa,B,08,RD14-0003-24d2d,"",RD14-0003,24d2d,24,2d,"","","","",0.0625,IP,2.8,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B09_RD14-0003-24d2e-0.0625IP-Q3.0_002.10sec.fsa,B,09,RD14-0003-24d2e,"",RD14-0003,24d2e,24,2e,"","","","",0.0625,IP,3.0,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/B10_POS1030515LEA-IP_002.10sec.fsa,B,10,POS1030515LEA,POS1030515LEA,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C01_RD14-0003-23d2a-0.25IP-Q1.0_003.10sec.fsa,C,01,RD14-0003-23d2a,"",RD14-0003,23d2a,23,2a,"","","","",0.25,IP,1.0,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C02_RD14-0003-23d2c-0.25IP-Q2.2_003.10sec.fsa,C,02,RD14-0003-23d2c,"",RD14-0003,23d2c,23,2c,"","","","",0.25,IP,2.2,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C03_RD14-0003-23d1d-0.5IP-Q2.7_003.10sec.fsa,C,03,RD14-0003-23d1d,"",RD14-0003,23d1d,23,1d,"","","","",0.5,IP,2.7,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C04_RD14-0003-23d1e-0.5IP-Q6.5_003.10sec.fsa,C,04,RD14-0003-23d1e,"",RD14-0003,23d1e,23,1e,"","","","",0.5,IP,6.5,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C05_Ladder-IP_003.10sec.fsa,C,05,Ladder,Ladder,"","",,"","","","","",,IP,"",003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C06_RD14-0003-24d3a-0.0156IP-Q0.8_003.10sec.fsa,C,06,RD14-0003-24d3a,"",RD14-0003,24d3a,24,3a,"","","","",0.0156,IP,0.8,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C07_RD14-0003-24d3c-0.0156IP-Q1.1_003.10sec.fsa,C,07,RD14-0003-24d3c,"",RD14-0003,24d3c,24,3c,"","","","",0.0156,IP,1.1,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C08_RD14-0003-24d3d-0.03125IP-Q6.9_003.10sec.fsa,C,08,RD14-0003-24d3d,"",RD14-0003,24d3d,24,3d,"","","","",0.03125,IP,6.9,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C09_RD14-0003-24d2e-0.03125IP-Q3.0_003.10sec.fsa,C,09,RD14-0003-24d2e,"",RD14-0003,24d2e,24,2e,"","","","",0.03125,IP,3.0,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/C10_NEG1030515LEA-IP_003.10sec.fsa,C,10,NEG1030515LEA,NEG1030515LEA,"","",,"","","","","",,IP,"",003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/D01_RD14-0003-23d3a-0.125IP-Q1.2_004.10sec.fsa,D,01,RD14-0003-23d3a,"",RD14-0003,23d3a,23,3a,"","","","",0.125,IP,1.2,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/D02_RD14-0003-23d2c-0.125IP-Q2.2_004.10sec.fsa,D,02,RD14-0003-23d2c,"",RD14-0003,23d2c,23,2c,"","","","",0.125,IP,2.2,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/D03_RD14-0003-23d2d-0.25IP-Q2.1_004.10sec.fsa,D,03,RD14-0003-23d2d,"",RD14-0003,23d2d,23,2d,"","","","",0.25,IP,2.1,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/D04_RD14-0003-23d1e-0.25IP-Q6.5_004.10sec.fsa,D,04,RD14-0003-23d1e,"",RD14-0003,23d1e,23,1e,"","","","",0.25,IP,6.5,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/D05_POS030515LEA-IP_004.10sec.fsa,D,05,POS030515LEA,POS030515LEA,"","",,"","","","","",,IP,"",004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/D06_RD14-0003-24d3a-0.0078IP-Q0.8_004.10sec.fsa,D,06,RD14-0003-24d3a,"",RD14-0003,24d3a,24,3a,"","","","",0.0078,IP,0.8,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/D07_Ladder-IP_004.10sec.fsa,D,07,Ladder,Ladder,"","",,"","","","","",,IP,"",004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/D08_RD14-0003-24d3d-0.0156IP-Q6.9_004.10sec.fsa,D,08,RD14-0003-24d3d,"",RD14-0003,24d3d,24,3d,"","","","",0.0156,IP,6.9,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/D09_RD14-0003-24d3e-0.0156IP-Q2.3_004.10sec.fsa,D,09,RD14-0003-24d3e,"",RD14-0003,24d3e,24,3e,"","","","",0.0156,IP,2.3,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/E01_RD14-0003-23d3a-0.0625IP-Q1.2_001.10sec.fsa,E,01,RD14-0003-23d3a,"",RD14-0003,23d3a,23,3a,"","","","",0.0625,IP,1.2,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/E02_RD14-0003-23d2c-0.0625IP-Q2.2_001.10sec.fsa,E,02,RD14-0003-23d2c,"",RD14-0003,23d2c,23,2c,"","","","",0.0625,IP,2.2,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/E03_RD14-0003-23d2d-0.125IP-Q2.1_001.10sec.fsa,E,03,RD14-0003-23d2d,"",RD14-0003,23d2d,23,2d,"","","","",0.125,IP,2.1,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/E04_RD14-0003-23d2e-0.125IP-Q3.1_001.10sec.fsa,E,04,RD14-0003-23d2e,"",RD14-0003,23d2e,23,2e,"","","","",0.125,IP,3.1,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/E05_NEG030515LEA-IP_001.10sec.fsa,E,05,NEG030515LEA,NEG030515LEA,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/E06_RD14-0003-24d3a-0.3IP-Q0.8_001.10sec.fsa,E,06,RD14-0003-24d3a,"",RD14-0003,24d3a,24,3a,"","","","",0.3,IP,0.8,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/E07_RD14-0003-24d3c-0.0078IP-Q1.1_001.10sec.fsa,E,07,RD14-0003-24d3c,"",RD14-0003,24d3c,24,3c,"","","","",0.0078,IP,1.1,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/E08_RD14-0003-24d3d-0.0078IP-Q6.9_001.10sec.fsa,E,08,RD14-0003-24d3d,"",RD14-0003,24d3d,24,3d,"","","","",0.0078,IP,6.9,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/E09_Ladder-IP_001.10sec.fsa,E,09,Ladder,Ladder,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/F01_RD14-0003-23d3a-0.03125IP-Q1.2_002.10sec.fsa,F,01,RD14-0003-23d3a,"",RD14-0003,23d3a,23,3a,"","","","",0.03125,IP,1.2,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/F02_RD14-0003-23d3c-0.03125IP-Q2.2_002.10sec.fsa,F,02,RD14-0003-23d3c,"",RD14-0003,23d3c,23,3c,"","","","",0.03125,IP,2.2,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/F03_RD14-0003-23d2d-0.0625IP-Q2.1_002.10sec.fsa,F,03,RD14-0003-23d2d,"",RD14-0003,23d2d,23,2d,"","","","",0.0625,IP,2.1,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/F05_RD14-0003-24d2a-0.5IP-Q0.8_002.10sec.fsa,F,05,RD14-0003-24d2a,"",RD14-0003,24d2a,24,2a,"","","","",0.5,IP,0.8,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/F06_RD14-0003-24d2c-0.5IP-Q0.9_002.10sec.fsa,F,06,RD14-0003-24d2c,"",RD14-0003,24d2c,24,2c,"","","","",0.5,IP,0.9,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/F07_RD14-0003-24d3c-0.2IP-Q1.1_002.10sec.fsa,F,07,RD14-0003-24d3c,"",RD14-0003,24d3c,24,3c,"","","","",0.2,IP,1.1,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/F08_RD14-0003-24d3d-0.1IP-Q6.9_002.10sec.fsa,F,08,RD14-0003-24d3d,"",RD14-0003,24d3d,24,3d,"","","","",0.1,IP,6.9,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/F09_RD14-0003-24d3e-0.0078IP-Q2.3_002.10sec.fsa,F,09,RD14-0003-24d3e,"",RD14-0003,24d3e,24,3e,"","","","",0.0078,IP,2.3,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/G01_RD14-0003-23d3a-0.0156IP-Q1.2_003.10sec.fsa,G,01,RD14-0003-23d3a,"",RD14-0003,23d3a,23,3a,"","","","",0.0156,IP,1.2,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/G02_RD14-0003-23d3c-0.0156IP-Q2.2_003.10sec.fsa,G,02,RD14-0003-23d3c,"",RD14-0003,23d3c,23,3c,"","","","",0.0156,IP,2.2,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/G03_RD14-0003-23d3d-0.03125IP-Q2.5_003.10sec.fsa,G,03,RD14-0003-23d3d,"",RD14-0003,23d3d,23,3d,"","","","",0.03125,IP,2.5,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/G04_RD14-0003-23d2e-0.03125IP-Q3.1_003.10sec.fsa,G,04,RD14-0003-23d2e,"",RD14-0003,23d2e,23,2e,"","","","",0.03125,IP,3.1,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/G05_RD14-0003-24d2a-0.25IP-Q0.8_003.10sec.fsa,G,05,RD14-0003-24d2a,"",RD14-0003,24d2a,24,2a,"","","","",0.25,IP,0.8,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/G06_RD14-0003-24d2c-0.25IP-Q0.9_003.10sec.fsa,G,06,RD14-0003-24d2c,"",RD14-0003,24d2c,24,2c,"","","","",0.25,IP,0.9,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/G07_RD14-0003-24d1d-0.5IP-Q1.6_003.10sec.fsa,G,07,RD14-0003-24d1d,"",RD14-0003,24d1d,24,1d,"","","","",0.5,IP,1.6,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/G08_RD14-0003-24d1e-0.5IP-Q2.5_003.10sec.fsa,G,08,RD14-0003-24d1e,"",RD14-0003,24d1e,24,1e,"","","","",0.5,IP,2.5,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/G09_RD14-0003-24d3e-0.07IP-Q2.3_003.10sec.fsa,G,09,RD14-0003-24d3e,"",RD14-0003,24d3e,24,3e,"","","","",0.07,IP,2.3,003,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/H01_RD14-0003-23d3a-0.0078IP-Q1.2_004.10sec.fsa,H,01,RD14-0003-23d3a,"",RD14-0003,23d3a,23,3a,"","","","",0.0078,IP,1.2,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/H02_RD14-0003-23d3c-0.0078IP-Q2.2_004.10sec.fsa,H,02,RD14-0003-23d3c,"",RD14-0003,23d3c,23,3c,"","","","",0.0078,IP,2.2,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/H03_RD14-0003-23d3d-0.0156IP-Q2.5_004.10sec.fsa,H,03,RD14-0003-23d3d,"",RD14-0003,23d3d,23,3d,"","","","",0.0156,IP,2.5,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/H04_RD14-0003-23d3e-0.0156IP-Q4.1_004.10sec.fsa,H,04,RD14-0003-23d3e,"",RD14-0003,23d3e,23,3e,"","","","",0.0156,IP,4.1,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/H05_RD14-0003-24d2a-0.125IP-Q0.8_004.10sec.fsa,H,05,RD14-0003-24d2a,"",RD14-0003,24d2a,24,2a,"","","","",0.125,IP,0.8,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/H06_RD14-0003-24d2c-0.125IP-Q0.9_004.10sec.fsa,H,06,RD14-0003-24d2c,"",RD14-0003,24d2c,24,2c,"","","","",0.125,IP,0.9,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/H07_RD14-0003-24d2d-0.25IP-Q2.8_004.10sec.fsa,H,07,RD14-0003-24d2d,"",RD14-0003,24d2d,24,2d,"","","","",0.25,IP,2.8,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/H08_RD14-0003-24d1e-0.25IP-Q2.5_004.10sec.fsa,H,08,RD14-0003-24d1e,"",RD14-0003,24d1e,24,1e,"","","","",0.25,IP,2.5,004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(011816CMG_10sec)/H09_RB021915LEA-IP_004.10sec.fsa,H,09,RB021915LEA,RB021915LEA,"","",,"","","","","",,IP,"",004,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A01_Ladder-IP_001.10sec.fsa,A,01,Ladder,Ladder,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A02_RD14-0003-25d3a-0.4IP-Q1.2_001.10sec.fsa,A,02,RD14-0003-25d3a,"",RD14-0003,25d3a,25,3a,"","","","",0.4,IP,1.2,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A03_RD14-0003-25d3c-0.2IP-Q2.4_001.10sec.fsa,A,03,RD14-0003-25d3c,"",RD14-0003,25d3c,25,3c,"","","","",0.2,IP,2.4,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A04_RD14-0003-25d3d-0.0078IP-Q2.8_001.10sec.fsa,A,04,RD14-0003-25d3d,"",RD14-0003,25d3d,25,3d,"","","","",0.0078,IP,2.8,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A05_RD14-0003-25d3e-0.0078IP-Q5.2_001.10sec.fsa,A,05,RD14-0003-25d3e,"",RD14-0003,25d3e,25,3e,"","","","",0.0078,IP,5.2,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A06_RD14-0003-26d3a-0.0625IP-Q0.9_001.10sec.fsa,A,06,RD14-0003-26d3a,"",RD14-0003,26d3a,26,3a,"","","","",0.0625,IP,0.9,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A07_RD14-0003-26d3c-0.0625IP-Q1.1_001.10sec.fsa,A,07,RD14-0003-26d3c,"",RD14-0003,26d3c,26,3c,"","","","",0.0625,IP,1.1,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A08_RD14-0003-26d2d-0.125IP-Q1.6_001.10sec.fsa,A,08,RD14-0003-26d2d,"",RD14-0003,26d2d,26,2d,"","","","",0.125,IP,1.6,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A09_RD14-0003-26d2e-0.125IP-Q1.6_001.10sec.fsa,A,09,RD14-0003-26d2e,"",RD14-0003,26d2e,26,2e,"","","","",0.125,IP,1.6,001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/A10_RB022615LEA-IP_001.10sec.fsa,A,10,RB022615LEA,RB022615LEA,"","",,"","","","","",,IP,"",001,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B01_RD14-0003-25d2a-0.5IP-Q1.0_002.10sec.fsa,B,01,RD14-0003-25d2a,"",RD14-0003,25d2a,25,2a,"","","","",0.5,IP,1.0,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B02_RD14-0003-25d2c-0.5IP-Q1.7_002.10sec.fsa,B,02,RD14-0003-25d2c,"",RD14-0003,25d2c,25,2c,"","","","",0.5,IP,1.7,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B03_Ladder-IP_002.10sec.fsa,B,03,Ladder,Ladder,"","",,"","","","","",,IP,"",002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B04_RD14-0003-25d3d-0.2IP-Q2.8_002.10sec.fsa,B,04,RD14-0003-25d3d,"",RD14-0003,25d3d,25,3d,"","","","",0.2,IP,2.8,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B05_RD14-0003-25d3e-0.1IP-Q5.2_002.10sec.fsa,B,05,RD14-0003-25d3e,"",RD14-0003,25d3e,25,3e,"","","","",0.1,IP,5.2,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B06_RD14-0003-26d3a-0.03125IP-Q0.9_002.10sec.fsa,B,06,RD14-0003-26d3a,"",RD14-0003,26d3a,26,3a,"","","","",0.03125,IP,0.9,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B07_RD14-0003-26d3c-0.03125IP-Q1.1_002.10sec.fsa,B,07,RD14-0003-26d3c,"",RD14-0003,26d3c,26,3c,"","","","",0.03125,IP,1.1,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B08_RD14-0003-26d2d-0.0625IP-Q1.6_002.10sec.fsa,B,08,RD14-0003-26d2d,"",RD14-0003,26d2d,26,2d,"","","","",0.0625,IP,1.6,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B09_RD14-0003-26d2e-0.0625IP-Q1.6_002.10sec.fsa,B,09,RD14-0003-26d2e,"",RD14-0003,26d2e,26,2e,"","","","",0.0625,IP,1.6,002,10
data/PROVEDIt_1-Person Profiles_3130 10sec_IDPlus28cycles/10 sec/RD14-0003(012016CMG_10sec)/B10_POS1031315ADG-IP_002.10sec.fsa,B,10,POS1031315ADG,POS1031315ADG,"","",,"","","","","",,IP,"",002,10
